FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
60,0,0,16.89,52.51,55.10,39.58,43.14,41.18,62.00,51.02,45.10,81.63,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.72,48.38,47.95,29.23,31.34,30.88,65.71,44.29,42.03,98.55,1508,1508,1508,1508,2333,2333,2333,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.72,53.16,62.30,50.00,47.37,42.86,67.27,47.46,47.46,57.38,1844,1844,1844,1844,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.027
58,0,0,50.00,44.51,46.43,34.48,40.32,40.68,57.63,58.46,45.90,29.82,1133,1133,1133,1133,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
58,0,0,50.00,36.44,58.62,52.54,47.17,42.11,42.11,22.81,18.64,6.90,1133,1133,1133,1133,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.71,39.26,64.52,59.02,50.00,45.00,40.68,16.13,25.42,11.67,1748,1748,1748,1748,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.71,43.97,66.67,56.36,52.73,55.93,50.88,41.67,22.03,9.84,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
59,0,0,33.33,57.26,74.58,64.91,73.33,69.49,52.73,58.33,48.33,13.79,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
59,0,0,33.33,57.17,64.52,58.33,62.07,62.50,31.67,57.38,25.00,94.92,1133,1133,1133,1133,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.76,59.87,67.86,56.36,66.07,62.50,47.37,65.45,39.66,75.00,1268,1268,1268,1268,2228,2228,2228,2500,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.76,48.86,73.77,59.32,67.80,69.35,30.00,50.85,18.03,22.58,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.78,48.33,71.67,63.49,72.88,70.18,42.62,48.28,16.67,1.69,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.78,54.14,74.58,65.00,68.42,68.97,51.61,60.00,30.51,17.24,1844,1844,1844,1844,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.72,47.46,66.07,62.07,70.18,73.33,45.16,34.43,21.05,6.67,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.72,52.12,44.26,34.55,45.61,50.00,66.67,73.33,54.10,43.10,1844,1844,1844,1844,2333,2333,2333,2583,-1.00,-1.00,-1,80,32.00,0,4.027
59,0,0,33.32,60.13,66.67,55.77,63.64,66.67,47.46,56.14,29.31,94.74,1392,1392,1392,1392,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.027
59,0,0,33.32,55.49,47.46,35.71,44.64,49.18,54.24,68.75,51.61,88.33,1844,1844,1844,1844,2333,2333,2333,1498,-1.00,-1.00,-1,80,32.00,0,4.027
57,1,0,50.01,57.92,50.88,41.38,45.61,55.36,67.74,74.58,59.32,68.97,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
57,1,0,50.01,49.02,41.82,37.50,40.74,45.61,68.42,71.93,56.14,26.67,1844,1844,1844,1844,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.70,50.22,44.64,37.04,44.83,47.17,59.32,71.19,50.00,43.86,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.70,48.50,60.00,50.88,56.14,56.36,45.76,64.06,37.93,15.79,1133,1133,1133,1133,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.70,53.03,44.64,30.19,41.82,45.61,61.82,72.73,55.36,69.49,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,80,32.00,0,4.027
60,0,0,16.70,60.52,57.89,47.27,54.39,56.36,68.18,73.33,64.41,57.14,1844,1844,1844,1844,2333,2333,2333,2583,-1.00,-1.00,-1,80,32.00,0,4.027
46,1,1,149.99,51.65,40.35,30.19,46.55,45.28,50.85,63.33,40.68,98.18,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
46,1,1,149.99,58.71,53.33,40.35,50.85,54.39,65.00,76.67,54.24,79.31,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,80,32.00,0,4.027
26,5,1,116.66,56.71,54.24,44.83,52.63,56.60,66.67,71.93,54.39,56.14,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.027
26,5,1,116.66,52.32,58.33,50.00,57.63,56.90,58.33,66.67,38.98,36.07,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.027
42,3,1,83.33,54.80,50.91,48.39,49.09,53.70,71.93,73.77,50.00,40.68,1844,1844,1844,1844,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.027
42,3,1,83.33,51.47,45.76,38.98,44.44,51.72,59.68,67.21,48.39,55.56,1508,1508,1508,1508,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
48,2,0,66.67,51.41,47.37,39.29,44.23,49.12,57.89,68.75,44.83,57.63,1392,1392,1392,1392,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.027
48,2,0,66.67,55.34,45.61,41.67,50.85,51.72,53.33,60.71,41.67,96.61,1844,1844,1844,1844,2400,2400,2400,2362,-1.00,-1.00,-1,80,32.00,0,4.027
49,2,1,83.35,53.38,56.14,51.79,56.90,56.14,47.37,57.63,32.76,67.86,1392,1392,1392,1392,1152,1152,1152,1498,-1.00,-1.00,-1,80,32.00,0,4.027
49,2,1,83.35,48.11,68.85,59.32,61.67,60.00,40.98,66.67,25.00,3.39,1748,1748,1748,1748,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
53,1,0,50.01,53.36,77.59,67.74,74.19,74.14,59.32,42.62,31.58,0.00,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.027
53,1,0,50.01,46.54,71.19,58.62,65.52,68.42,44.26,45.76,23.81,0.00,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
55,1,0,50.03,61.64,61.02,53.45,61.40,62.07,70.18,76.27,60.66,52.63,1844,1844,1844,1844,2333,2333,2333,1498,-1.00,-1.00,-1,80,32.00,0,4.027
55,1,0,50.03,50.54,59.65,49.02,55.56,62.71,50.00,62.90,43.33,18.03,1748,1748,1748,1748,2333,2333,2333,1997,-1.00,-1.00,-1,80,32.00,0,4.027
48,3,0,66.64,51.83,47.46,44.83,49.15,44.23,47.62,62.07,35.00,87.27,1844,1844,1844,1844,2333,2333,2333,2500,-1.00,-1.00,-1,80,32.00,0,4.027
48,3,0,66.64,49.47,46.55,44.83,49.15,51.67,43.86,63.16,40.98,54.24,1508,1508,1508,1508,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
48,2,0,66.66,47.07,54.39,44.44,53.70,54.90,41.38,55.00,26.79,42.59,1268,1268,1268,1268,2228,2228,2228,2500,-1.00,-1.00,-1,80,32.00,0,4.027
48,2,0,66.66,47.31,69.84,63.49,64.52,64.52,23.81,50.77,12.70,30.65,1508,1508,1508,1508,2228,2228,2228,1498,-1.00,-1.00,-1,80,32.00,0,4.027
36,3,0,66.72,47.68,63.79,61.67,63.79,65.52,33.87,48.33,13.11,35.48,1844,1844,1844,1844,1844,1844,1844,1632,-1.00,-1.00,-1,80,32.00,0,4.027
36,3,0,66.72,51.06,73.33,61.40,65.45,70.69,40.98,50.85,17.24,25.86,1392,1392,1392,1392,2228,2228,2228,1498,-1.00,-1.00,-1,80,32.00,0,4.027
35,4,1,83.40,45.91,62.71,58.73,58.93,62.07,31.67,50.85,17.74,27.12,1392,1392,1392,1392,2333,2333,2333,2583,-1.00,-1.00,-1,80,32.00,0,4.027
35,4,1,83.40,54.08,61.02,56.67,58.18,61.40,33.90,49.12,16.39,96.61,1623,1623,1623,1623,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
35,5,1,83.33,57.88,64.15,58.62,61.82,63.16,56.36,70.18,41.82,45.28,1844,1844,1844,1844,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
35,5,1,83.33,52.51,65.63,60.61,60.66,59.32,48.44,61.29,19.67,40.98,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
37,6,0,66.67,45.22,68.42,59.68,63.16,68.33,40.00,44.83,18.33,0.00,1844,1844,1844,1844,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
37,6,0,66.67,51.05,66.07,64.62,66.67,71.43,50.85,52.63,21.67,16.67,1844,1844,1844,1844,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
53,1,0,49.98,52.28,73.77,68.85,74.14,74.58,53.33,40.68,33.87,0.00,1623,1623,1623,1623,1690,1690,1690,1498,-1.00,-1.00,-1,80,32.00,0,4.027
53,1,0,49.98,48.41,68.33,61.02,69.64,69.64,47.62,41.38,25.42,6.67,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
39,3,1,83.33,58.41,60.00,60.00,57.41,59.65,45.61,57.14,35.71,94.55,1623,1623,1623,1623,2400,2400,2400,2362,-1.00,-1.00,-1,80,32.00,0,4.027
39,3,1,83.33,54.80,62.90,57.14,59.02,61.29,40.00,49.21,14.06,93.55,1392,1392,1392,1392,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.027
36,4,0,66.64,51.09,63.16,54.39,60.00,58.18,34.48,56.90,18.64,63.79,1268,1268,1268,1268,2228,2228,2228,1498,-1.00,-1.00,-1,80,32.00,0,4.027
36,4,0,66.64,49.78,68.97,63.33,62.96,65.45,53.33,55.17,23.33,8.47,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
37,6,0,66.69,45.55,66.10,57.89,66.10,70.69,45.61,40.00,21.67,0.00,1623,1623,1623,1623,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
37,6,0,66.69,47.36,70.97,63.33,67.24,67.92,45.00,36.21,22.03,1.67,1268,1268,1268,1268,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.027
34,4,0,66.65,55.84,74.07,67.80,69.64,72.55,61.82,51.92,30.36,18.18,1623,1623,1623,1623,2228,2228,2228,1498,-1.00,-1.00,-1,80,32.00,0,4.027
34,4,0,66.65,51.80,51.67,50.00,65.63,68.25,65.52,48.44,50.00,15.63,1844,1844,1844,1844,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
32,2,0,66.66,55.39,59.32,54.10,56.36,58.18,38.33,54.24,28.33,94.83,1508,1508,1508,1508,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
32,2,0,66.66,58.19,67.21,59.32,65.00,64.91,45.16,60.34,35.59,67.21,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
29,4,0,66.66,49.58,66.10,64.41,67.21,70.18,49.18,44.83,32.20,4.92,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,80,32.00,0,4.027
29,4,0,66.66,46.06,66.13,58.62,59.26,61.40,44.07,51.72,21.31,8.33,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
31,4,0,66.70,51.88,68.42,59.26,66.13,63.16,60.66,55.56,20.00,19.64,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.027
31,4,0,66.70,49.80,63.33,57.81,59.68,59.68,59.02,62.07,27.42,8.06,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
29,5,0,66.90,52.27,63.16,60.00,62.50,64.29,48.28,58.62,33.33,28.33,1844,1844,1844,1844,1268,1268,1268,1997,-1.00,-1.00,-1,80,32.00,0,4.027
29,5,0,66.90,56.63,62.71,59.68,63.33,61.02,28.81,60.94,33.90,83.33,1392,1392,1392,1392,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.027
31,5,0,66.67,56.33,64.52,53.33,62.07,56.90,40.32,57.14,31.15,84.48,1623,1623,1623,1623,2228,2228,2228,2500,-1.00,-1.00,-1,80,32.00,0,4.027
31,5,0,66.67,46.01,61.40,59.02,64.41,63.79,40.98,55.17,19.05,10.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
50,2,0,66.68,54.13,75.86,66.04,66.00,71.15,54.39,62.26,31.48,7.27,1268,1268,1268,1268,1037,1037,1037,1498,-1.00,-1.00,-1,80,32.00,0,4.027
50,2,0,66.68,45.78,65.57,61.90,66.13,68.33,48.48,33.90,17.46,4.76,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
36,4,0,66.67,47.56,65.00,55.74,60.00,62.07,43.86,54.39,24.59,18.33,1133,1133,1133,1133,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
36,4,0,66.67,55.04,72.88,66.67,68.33,65.52,54.10,63.33,35.59,15.87,1748,1748,1748,1748,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.027
30,3,3,83.33,53.72,63.93,55.74,55.56,58.18,36.67,53.23,12.07,94.83,1623,1623,1623,1623,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
30,3,3,83.33,56.75,62.07,57.63,60.71,60.71,41.67,64.52,41.94,66.67,1392,1392,1392,1392,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.027
27,4,2,100.00,48.36,62.26,60.00,58.82,60.38,55.77,63.46,25.93,5.45,1844,1844,1844,1844,1690,1690,1690,1498,-1.00,-1.00,-1,80,32.00,0,4.027
27,4,2,100.00,46.07,65.67,59.09,66.15,61.90,51.39,40.63,20.00,3.13,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
28,4,0,66.67,43.98,60.34,54.10,64.41,62.71,42.86,48.33,21.31,0.00,1844,1844,1844,1844,1978,1978,1978,1498,-1.00,-1.00,-1,80,32.00,0,4.027
28,4,0,66.67,51.04,70.49,65.63,63.16,63.79,45.90,67.21,30.00,5.00,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
53,1,0,50.00,51.05,72.13,63.79,74.58,76.19,49.15,28.33,20.34,24.14,1392,1392,1392,1392,1152,1152,1152,1498,-1.00,-1.00,-1,80,32.00,0,4.027
53,1,0,50.00,51.49,58.62,56.45,57.41,56.36,35.00,50.82,26.67,70.00,1268,1268,1268,1268,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
54,1,1,83.31,57.66,66.04,55.10,62.00,60.78,49.06,56.00,24.53,92.16,1623,1623,1623,1623,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.027
54,1,1,83.31,53.11,60.29,55.22,62.12,61.54,51.52,65.67,42.65,25.76,1748,1748,1748,1748,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
29,5,0,66.66,46.25,70.97,58.93,59.65,59.65,38.33,62.07,15.25,11.29,1392,1392,1392,1392,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.027
29,5,0,66.66,45.63,61.40,56.90,62.50,62.71,39.66,50.00,25.00,8.20,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
28,5,0,66.69,44.30,63.33,56.14,55.36,61.67,40.68,62.50,17.24,0.00,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,80,32.00,0,4.027
28,5,0,66.69,53.43,72.58,63.79,67.80,66.10,55.93,61.67,31.15,8.47,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.027
44,2,1,83.34,55.33,62.50,58.00,69.57,71.43,58.49,45.28,32.69,50.98,1748,1748,1748,1748,2400,2400,2400,2247,-1.00,-1.00,-1,80,32.00,0,4.027
44,2,1,83.34,54.85,63.24,58.21,63.24,60.61,35.82,50.77,16.42,91.04,1392,1392,1392,1392,2228,2228,2228,2500,-1.00,-1.00,-1,80,32.00,0,4.027
42,5,2,83.34,54.78,62.96,61.02,63.79,64.41,58.33,63.16,53.45,15.52,1844,1844,1844,1844,2228,2228,2228,2500,-1.00,-1.00,-1,80,31.00,0,4.027
42,5,2,83.34,48.93,65.57,58.33,58.49,56.36,36.21,61.02,22.81,27.59,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,80,31.00,0,4.027
28,6,1,83.33,45.32,61.90,54.10,60.71,60.34,34.43,52.38,20.00,16.67,1508,1508,1508,1508,1268,1268,1268,1498,-1.00,-1.00,-1,80,31.00,0,4.027
28,6,1,83.33,45.24,61.40,57.63,64.29,65.52,46.67,45.76,17.74,6.45,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.027
30,5,0,66.67,52.78,68.52,62.96,62.75,62.26,56.36,61.82,40.74,7.41,1844,1844,1844,1844,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,5,0,66.67,45.63,65.15,57.14,55.74,55.74,43.28,63.64,27.27,0.00,1268,1268,1268,1268,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.081
45,1,0,66.67,57.02,63.33,59.68,62.07,61.40,43.33,55.74,16.95,95.00,1508,1508,1508,1508,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
45,1,0,66.67,60.25,64.41,63.93,64.41,62.50,52.38,56.90,25.86,93.44,999,999,999,999,2132,2132,2132,1498,-1.00,-1.00,-1,80,32.00,0,4.081
50,2,0,66.65,52.25,68.33,60.00,64.91,64.91,51.72,52.46,21.67,38.71,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
50,2,0,66.65,44.73,65.00,60.34,74.58,72.41,43.55,25.00,15.25,5.00,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
29,5,1,83.33,48.65,65.45,59.26,61.54,61.82,41.82,66.67,29.82,0.00,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,80,32.00,0,4.081
29,5,1,83.33,46.44,66.15,59.38,67.21,68.75,39.06,50.79,25.00,0.00,1133,1133,1133,1133,1152,1152,1152,1498,-1.00,-1.00,-1,80,32.00,0,4.081
29,3,0,66.68,45.82,58.93,57.63,60.71,61.67,36.67,62.50,28.33,4.92,1623,1623,1623,1623,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.081
29,3,0,66.68,56.53,64.52,59.32,59.26,61.82,42.37,58.06,51.67,55.17,1392,1392,1392,1392,2228,2228,2228,2500,-1.00,-1.00,-1,80,32.00,0,4.081
31,4,1,83.33,55.77,61.02,58.33,61.40,57.69,38.98,56.25,21.31,93.33,1508,1508,1508,1508,2400,2400,2400,1498,-1.00,-1.00,-1,80,32.00,0,4.081
31,4,1,83.33,53.15,66.67,58.93,63.64,63.64,51.67,57.63,22.03,40.68,1844,1844,1844,1844,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
36,6,0,66.70,48.80,66.04,64.81,68.63,70.00,49.09,42.31,24.07,7.69,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.081
36,6,0,66.70,52.41,74.63,66.67,66.13,63.33,53.97,63.24,23.44,13.04,1748,1748,1748,1748,912,912,912,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,5,1,83.32,46.40,65.63,59.02,67.86,70.91,37.93,28.81,27.87,18.03,1392,1392,1392,1392,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,5,1,83.32,55.77,69.09,66.07,67.86,70.00,60.34,65.52,38.60,11.67,1623,1623,1623,1623,1037,1037,1037,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,5,1,83.41,53.80,64.29,59.02,68.97,71.43,38.98,43.10,31.67,52.46,1392,1392,1392,1392,1978,1978,1978,2112,-1.00,-1.00,-1,80,32.00,0,4.081
30,5,1,83.41,50.00,56.90,50.00,55.36,53.70,22.81,53.23,13.33,94.92,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
30,6,0,66.70,53.37,64.29,59.62,57.14,58.82,50.94,57.69,24.00,53.85,1268,1268,1268,1268,1268,1268,1268,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,6,0,66.70,44.23,66.18,59.70,64.52,68.75,29.85,41.27,20.59,4.48,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
29,6,0,66.68,45.83,61.40,61.90,76.67,75.00,33.33,39.66,16.67,0.00,1748,1748,1748,1748,1690,1690,1690,1498,-1.00,-1.00,-1,80,32.00,0,4.081
29,6,0,66.68,47.60,63.79,60.71,63.64,64.29,45.45,53.45,24.59,8.47,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
40,2,0,66.67,50.95,67.24,63.49,66.67,66.67,45.61,60.00,31.58,8.06,1392,1392,1392,1392,1690,1690,1690,1498,-1.00,-1.00,-1,80,32.00,0,4.081
40,2,0,66.67,53.98,66.67,60.00,62.50,61.54,63.16,57.14,27.78,30.36,1133,1133,1133,1133,2400,2400,2400,2500,-1.00,-1.00,-1,80,32.00,0,4.081
41,2,1,83.32,54.16,63.64,58.06,61.90,61.29,29.51,50.82,16.13,95.16,1392,1392,1392,1392,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
41,2,1,83.32,56.30,60.38,56.67,59.26,62.07,56.14,62.07,28.81,63.16,1133,1133,1133,1133,2228,2228,2228,2247,-1.00,-1.00,-1,80,32.00,0,4.081
55,1,0,66.66,48.30,49.12,44.83,56.67,52.54,45.00,59.02,38.10,43.10,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.081
55,1,0,66.66,48.81,44.64,45.16,51.79,56.14,47.37,58.62,40.00,46.43,1133,1133,1133,1133,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
57,1,0,50.01,47.42,46.55,42.37,52.54,50.88,45.61,61.29,38.33,46.77,1133,1133,1133,1133,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
57,1,0,50.01,48.57,44.64,44.83,55.93,47.17,62.07,66.04,47.37,14.55,1133,1133,1133,1133,1536,1536,1536,1498,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.76,49.29,53.13,45.31,51.67,53.97,61.67,66.67,45.00,20.63,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.76,55.41,46.67,39.66,44.44,51.67,56.45,62.71,46.03,96.61,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.081
59,0,0,33.34,56.93,58.33,51.67,58.18,57.89,61.90,63.93,40.68,63.79,1844,1844,1844,1844,2400,2400,2400,2583,-1.00,-1.00,-1,80,32.00,0,4.081
59,0,0,33.34,51.15,50.00,43.10,51.72,55.74,59.68,66.10,44.07,42.62,1623,1623,1623,1623,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
54,1,1,100.00,51.69,43.10,33.93,51.72,51.67,53.13,67.21,45.76,66.67,1133,1133,1133,1133,1978,1978,1978,1498,-1.00,-1.00,-1,80,32.00,0,4.081
54,1,1,100.00,45.68,48.15,40.74,50.00,53.57,57.63,62.50,40.68,12.28,1623,1623,1623,1623,912,912,912,1498,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.72,53.94,73.44,67.69,68.33,66.67,50.00,63.93,34.43,7.69,1392,1392,1392,1392,1844,1844,1844,1498,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.72,54.82,75.44,67.86,70.18,72.41,56.67,61.90,29.82,8.62,1508,1508,1508,1508,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.81,61.78,65.57,57.89,65.00,64.41,56.67,57.63,28.07,95.00,1844,1844,1844,1844,2132,2132,2132,2112,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.81,59.57,68.97,57.89,63.64,62.96,52.46,57.81,21.31,96.61,1508,1508,1508,1508,1978,1978,1978,2247,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.71,55.53,66.67,59.02,64.29,64.41,49.18,54.39,25.81,60.34,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
60,0,0,16.71,46.40,65.45,60.71,71.70,70.37,43.86,40.38,20.34,0.00,1508,1508,1508,1508,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
52,1,0,66.68,51.96,74.60,69.12,70.31,66.67,50.00,56.45,27.42,0.00,1392,1392,1392,1392,1978,1978,1978,1498,-1.00,-1.00,-1,80,32.00,0,4.081
52,1,0,66.68,46.06,62.50,58.33,68.33,69.64,49.12,33.93,18.64,9.84,1268,1268,1268,1268,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
53,1,0,49.98,52.54,72.58,64.41,65.52,64.91,61.67,56.36,23.33,13.11,1133,1133,1133,1133,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
53,1,0,49.98,58.82,73.33,66.67,63.79,67.86,63.79,61.02,42.19,34.48,1268,1268,1268,1268,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
43,3,0,66.66,54.55,63.49,58.06,58.62,58.49,37.29,55.74,13.33,93.55,1392,1392,1392,1392,2400,2400,2400,1498,-1.00,-1.00,-1,80,32.00,0,4.081
43,3,0,66.66,53.29,65.45,57.14,62.26,62.50,50.00,57.41,25.93,41.07,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
31,5,0,66.68,48.91,68.63,62.96,65.96,68.00,58.49,47.17,17.31,3.85,1623,1623,1623,1623,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.081
31,5,0,66.68,46.99,65.22,55.88,60.29,59.09,46.27,58.06,16.67,13.43,1133,1133,1133,1133,816,816,816,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,4,0,66.67,44.66,67.21,62.07,64.71,75.93,40.98,25.86,22.03,0.00,1508,1508,1508,1508,1392,1392,1392,1498,-1.00,-1.00,-1,80,32.00,0,4.081
30,4,0,66.67,50.31,70.97,65.00,66.67,68.97,60.00,50.00,23.33,0.00,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,80,32.00,0,4.081
31,5,0,66.68,50.53,68.97,59.65,66.67,73.77,62.90,33.33,32.79,5.17,1508,1508,1508,1508,2228,2228,2228,2583,-1.00,-1.00,-1,80,32.00,0,4.081
